,user_ID,group_ID,runtime,container0,container1,container2
21179,86,87,29807.0,0.00195,6.23832,512.0
21185,102,103,22288.0,0.00333,5.70378,300.0
21186,45,45,1505.0,1.0,0.0,1.0
21187,102,103,26716.0,0.01,4.60517,100.0
21188,102,103,29982.0,1.0,0.0,1.0
21200,89,90,57074.0,0.005,5.29832,200.0
21212,106,107,2003.0,0.00581,5.14749,172.0
21213,106,107,4095.0,0.00581,5.14749,172.0
21215,89,90,23.0,0.005,5.29832,200.0
21217,106,107,2254.0,0.00581,5.14749,172.0
21218,104,105,46.0,0.02,3.91202,50.0
21219,104,105,46.0,0.02,3.91202,50.0
21220,104,105,52.0,0.02,3.91202,50.0
21225,46,46,41450.0,0.00311,5.77455,322.0
21227,86,87,56721.0,0.00195,6.23832,512.0
21228,23,23,10698.0,1.0,0.0,1.0
21230,145,146,59.0,1.0,0.0,1.0
21232,145,146,77.0,1.0,0.0,1.0
21233,145,146,44.0,1.0,0.0,1.0
21234,145,146,34.0,1.0,0.0,1.0
21235,145,146,20.0,1.0,0.0,1.0
21237,145,146,40.0,1.0,0.0,1.0
21238,145,146,138.0,1.0,0.0,1.0
21239,145,146,25.0,1.0,0.0,1.0
21240,102,103,29196.0,0.01,4.60517,100.0
21242,145,146,350.0,1.0,0.0,1.0
21243,145,146,40.0,1.0,0.0,1.0
21244,145,146,12.0,1.0,0.0,1.0
21245,86,87,22.0,0.03125,3.46574,32.0
21246,89,90,34446.0,0.005,5.29832,200.0
21247,104,105,25438.0,0.02,3.91202,50.0
21248,23,23,11332.0,1.0,0.0,1.0
21249,93,94,10201.0,0.04545,3.09104,22.0
21252,102,103,6088.0,0.01,4.60517,100.0
21255,72,72,15.0,1.0,0.0,1.0
21256,72,72,6.0,1.0,0.0,1.0
21257,72,72,41.0,0.5,0.69315,2.0
21258,72,72,12.0,1.0,0.0,1.0
21259,72,72,26.0,0.25,1.38629,4.0
21260,72,72,32.0,0.5,0.69315,2.0
21261,72,72,12.0,1.0,0.0,1.0
21262,72,72,14.0,1.0,0.0,1.0
21263,72,72,12.0,0.5,0.69315,2.0
21264,72,72,87.0,1.0,0.0,1.0
21265,72,72,12.0,0.5,0.69315,2.0
21266,72,72,18.0,0.2,1.60944,5.0
